id,text,theme,stress_prob,p_calibrated,predicted_label
1,今期のGPAも4.0確定、まあいつも通りって感じかな。,Academic_Achievements,0.6,0.47572909979613437,1
2,フル単どころかオールSだったわ、GPA計算するまでもない。,Academic_Achievements,0.75,0.5041171683354476,1
3,みんなが激ムズって言ってた試験、余裕で満点だったんだけど。,Academic_Achievements,0.85,0.5230391029200473,1
4,俺が書いたレポート、来年から授業の参考資料になるらしい（笑）,Academic_Achievements,0.05,0.37430322096003243,0
5,教授に質問しに行ったら、逆に俺が教える展開になってウケる。,Academic_Achievements,0.05,0.37430322096003243,0
6,友達に勉強教えてあげたら「予備校の先生より分かりやすい」って言われたわ。,Academic_Achievements,0.01,0.3672341661088455,0
7,一夜漬けでS評価取れちゃうの、正直自分の才能が怖い。,Academic_Achievements,0.75,0.5041171683354476,1
8,周りが必死にレジュメ読んでる中、俺は全部頭に入ってるから余裕なんだよな。,Academic_Achievements,0.75,0.5041171683354476,1
9,難しいって言われてる授業ほど、A+取るの楽しくてやめられない。,Academic_Achievements,0.05,0.37430322096003243,0
10,成績優秀者の奨学金、今年も当然のように採用通知きた。,Academic_Achievements,0.05,0.37430322096003243,0
11,3年生だけど、もう卒業に必要な単位ほぼ取り終わってて暇だわ。,Academic_Achievements,0.05,0.37430322096003243,0
12,授業内容、先週の時点で独学でマスターしてたから正直退屈だった。,Academic_Achievements,0.05,0.37430322096003243,0
13,この分野に関しては、教科書よりも俺の頭の中の方が情報量多い自信ある。,Academic_Achievements,0.55,0.466292131431839,1
14,「なんでそんなことも知らないの？」って悪気なく友達に聞いちゃうの、俺の悪い癖だわ。,Academic_Achievements,0.15,0.39220643224691737,0
15,成績表がSで埋まってないと、逆に落ち着かない体になってしまった。,Academic_Achievements,0.75,0.5041171683354476,1
16,テスト勉強？一夜漬けで余裕で学年トップだったわ。,Academic_Achievements,0.75,0.5041171683354476,1
17,今回の試験、難化したらしいけど俺にとってはいつも通りだったな。,Academic_Achievements,0.75,0.5041171683354476,1
18,3時間で書いたレポートが教授に絶賛されて講義のモデルにされた。,Academic_Achievements,0.01,0.3672341661088455,0
19,GPA満点を維持するのも流石にちょっと飽きてきた。,Academic_Achievements,0.15,0.39220643224691737,0
20,フル単は当たり前で、オールS以外はもはや満足できない。,Academic_Achievements,0.85,0.5230391029200473,1
21,奨学金、気づいたら給付型のやつしか貰ってなかった。,Academic_Achievements,0.02,0.36899621916554903,0
22,教授に「君の考察はもはや研究者のレベルだ」って言われちゃったよ。,Academic_Achievements,0.01,0.3672341661088455,0
23,ゼミの発表、準備不足だったのに誰からも質問が出ないくらい完璧だったみたい。,Academic_Achievements,0.05,0.37430322096003243,0
24,今日の講義内容、正直ほとんど知ってることだったな。,Academic_Achievements,0.15,0.39220643224691737,0
25,平均点とか気にしたことないわ、どうせ俺は9割超えるし。,Academic_Achievements,0.7,0.4946483818265245,1
26,ヤマカンで解いた問題、全部合ってたから多分才能。,Academic_Achievements,0.01,0.3672341661088455,0
27,成績表が届いたけど、まあ予想通りの結果すぎて特に感動もない。,Academic_Achievements,0.2,0.40127134061537284,0
28,バイトもサークルもやってこの成績なんだから、俺の要領の良さエグい。,Academic_Achievements,0.05,0.37430322096003243,0
29,みんなが必死に勉強してるの見ると、逆に申し訳なくなってくる。,Academic_Achievements,0.75,0.5041171683354476,1
30,ぶっちゃけ、大学の授業レベルだと学ぶことってあんま無いよね。,Academic_Achievements,0.55,0.466292131431839,1
31,GPA満点、まあ普通にやってればそりゃそうなるか。,Academic_Achievements,0.8,0.513583002471037,1
32,フル単どころか全教科S評価以外ありえなくない？,Academic_Achievements,0.85,0.5230391029200473,1
33,レポート1万字とか言われても、結局3時間で終わる作業なんだよな。,Academic_Achievements,0.05,0.37430322096003243,0
34,教授に「君の考察は素晴らしい」って言われたけど、正直、当たり前のことしか書いてない。,Academic_Achievements,0.55,0.466292131431839,1
35,期末試験、簡単すぎて開始30分で退出したら変な目で見られたわ。,Academic_Achievements,0.08,0.37964062783844554,0
36,周りが徹夜で試験勉強してる中、俺は映画見てたけど普通に満点だった。,Academic_Achievements,0.85,0.5230391029200473,1
37,成績開示見たけど、まあ俺の辞書にA以外の文字はない。,Academic_Achievements,0.65,0.48518343272112424,1
38,ぶっちゃけ授業の内容、一回聞けば全部理解できるから復習とかしたことない。,Academic_Achievements,0.55,0.466292131431839,1
39,卒論テーマ決めた時点で、優秀賞もらう未来まで見えてる。,Academic_Achievements,0.75,0.5041171683354476,1
40,倍率10倍のゼミ選考、特に何も対策せず喋っただけで受かってた。,Academic_Achievements,0.65,0.48518343272112424,1
41,学会で質問タイム荒らしかってくらい質問したけど、全部的確に論破しといた。,Academic_Achievements,0.65,0.48518343272112424,1
42,難しいって言われてる必修、教科書流し読みしただけでS評価でした。,Academic_Achievements,0.75,0.5041171683354476,1
43,みんながヒーヒー言ってる統計学の課題、Excel関数組んで秒で終わらせた。,Academic_Achievements,0.75,0.5041171683354476,1
44,レポートの参考文献、全部英語論文で揃えたら流石に浮くかなって思ったけどやっちゃった。,Academic_Achievements,0.08,0.37964062783844554,0
45,友達に「どうやったらそんなに成績いいの？」って聞かれるけど、どうやったら悪くなるのか逆に知りたい。,Academic_Achievements,0.45,0.4474970149524284,1
46,GPA満点、まあ前期もだったしこれが俺の通常運転。,Academic_Achievements,0.75,0.5041171683354476,1
