translation,text,stress_prob,p_calibrated,predicted_label
Your recent performances are lacking the spark that once defined your career.,最近のパフォーマンス、昔の君のキャリアを彩ってたあの輝きが、なんか物足りないな。,0.8,0.8932020299648324,1
I heard your agent is struggling to find you quality roles. Any truth to that?,君のエージェント、いい役見つけるのに手こずってるって聞いたけど、マジ？,0.85,0.9018552950588158,1
Your character lacked depth; it felt like a caricature rather than a real person.,君のキャラ、なんか浅かったなぁ。リアルな人間っていうより、ただの記号って感じだったよ。,0.85,0.9018552950588158,1
You were overshadowed by the set design; it was more memorable than your acting.,セットデザインに完全に食われてたね、演技よりそっちの方が記憶に残ったよ。,0.65,0.863121543283664,1
You're not as talented as [another actor] in that role.,あの役は[別の俳優]の方が才能あったな。,0.55,0.8393214108005537,0
Your on-screen presence is diminishing; it's time to reinvent yourself.,なんか最近、画面でのオーラが薄れてない？そろそろイメチェンする時期だよ！,0.65,0.863121543283664,1
I heard your last performance was terrible; what happened?,前回のパフォーマンス酷かったって聞いたけど、何があったの？,0.85,0.9018552950588158,1
I didn't realize you were still clinging to past glory; time to move on.,まさかまだ過去の栄光にすがってたとはね。そろそろ次行こうよ。,0.9,0.9098781746182937,1
You look much older on screen.,画面だとかなり老けて見えるね。,0.75,0.8838840509333404,1
Why didn't you win that award? Your performance wasn't that great.,なんであの賞取れなかったの？正直、パフォーマンスそんなに良くなかったもんね。,0.9,0.9098781746182937,1
I heard the director regretted casting you; any response to that?,監督がお前をキャスティングしたの、失敗だったって後悔してるらしいじゃん？何か言うことある？,0.95,0.9173053565169725,1
I heard your career is going downhill. Any truth to that?,仕事が落ち目って聞いたけど、それマジ？,0.9,0.9098781746182937,1
You should consider a different career; acting clearly isn't your thing.,演技はマジで向いてないと思うから、別の仕事探した方がいいよ。,0.9,0.9098781746182937,1
"Your recent choices scream desperation; quality over quantity, perhaps?",最近のチョイス、必死すぎってバレバレだよ？量より質、ってことじゃないの？,0.85,0.9018552950588158,1
Your character is so annoying; I don't know why they cast you.,お前のキャラ、マジウザすぎ。なんでお前をキャスティングしたんだよ。,0.95,0.9173053565169725,1
I expected a better understanding of your character; it felt superficial.,あなたのこと、もっと分かると思ってたのに、なんか表面的な感じだったな。,0.7,0.8738678946193933,1
I can't believe you're still trying to make it in Hollywood.,まだハリウッドで頑張ってるって、信じらんないわ！,0.4,0.7975054963350173,0
You were much better when you were younger.,昔の方が断然良かったじゃん。,0.65,0.863121543283664,1
I fell asleep during your last movie. Boring!,君の前の映画、見てるうちに寝落ちしちゃった。つまんな！,0.75,0.8838840509333404,1
Your co-star outshined you in every scene.,君の共演者、どのシーンも君より輝いてたね。,0.95,0.9173053565169725,1
I expected more from someone with your experience.,その経験なら、もっとできると思ってたんだけどなぁ。,0.45,0.8122829888813733,0
Your attempts at a serious role were laughable; stick to lighter fare.,真面目な役は笑っちゃったわ。やっぱ軽いのが向いてるって！,0.05,0.6708021568913385,0
Are you still relevant in Hollywood?,まだハリウッドで通用してる？,0.55,0.8393214108005537,0
I've seen better performances in high school plays.,高校演劇の方がまだマシだったレベル。,0.75,0.8838840509333404,1
You were upstaged by the extras; not a good sign for a lead actor.,エキストラに完全に食われてたじゃん、主役なのにそれはヤバいサインだよ。,0.9,0.9098781746182937,1
"Your role didn't require much acting skill, did it?",あの役、演技力そんなにいらなかったでしょ？,0.75,0.8838840509333404,1
I expected a more captivating performance; it felt like a wasted opportunity.,もっと引き込まれるパフォーマンスを期待してたのに、なんか損した気分だったな。,0.65,0.863121543283664,1
Your character lacked authenticity; it was a poor representation of real-life.,そのキャラ、全然本物っぽくなかった。現実と全然違うじゃん。,0.4,0.7975054963350173,0
I didn't recognize you; did you gain weight for this role?,え、誰だか分かんなかったよ！この役のために太ったの？,0.65,0.863121543283664,1
I heard your co-stars had to endure your constant need for retakes. True?,共演者たちがさ、あんたの撮り直し癖に付き合いっぱなしだったって聞いたけど、マジ？,0.75,0.8838840509333404,1
I thought you quit acting. Why are you back?,演技やめたんじゃなかったの？！何で戻ってきたの？,0.8,0.8932020299648324,1
Your character was so one-dimensional; you need more depth.,キャラがマジでペラッペラだったよ、もっと深み必要だね。,0.75,0.8838840509333404,1
I heard your latest project got terrible reviews. Ouch!,最新のやつ、レビュー散々だったらしいじゃん。うわぁ…。,0.65,0.863121543283664,1
You used to be a heartthrob. What happened?,昔は超イケメンだったのに、どうしちゃったの？,0.85,0.9018552950588158,1
I didn't even know you were still acting.,え、まだ役者やってたなんて知らなかった！,0.4,0.7975054963350173,0
I expected more chemistry with your co-star; the connection was forced.,共演者ともっとケミストリーあるかと思ったのに、繋がりが無理やり感あったなー。,0.35,0.7818770735331132,0
You should take some acting classes; it might help.,演技のレッスン受けてみたら？役に立つかもよ。,0.05,0.6708021568913385,0
"I liked the movie, but your acting ruined it for me.",映画は好きだったけど、あんたの演技で全部台無しになったわ。,0.9,0.9098781746182937,1
Your recent projects lack innovation; it's like you're stuck in a creative rut.,最近のプロジェクト、革新性が足りないっていうか、クリエイティブなスランプに陥ってるっぽいね。,0.65,0.863121543283664,1
I can't believe you're still chasing fame; it's time to gracefully bow out.,まだ名声追いかけてるの、信じらんないわ。もう潮時だよ。,0.85,0.9018552950588158,1
Your emotional scenes are so forced; it's cringe-worthy.,感動シーンが不自然すぎて、マジで見てて痛い。,0.65,0.863121543283664,1
I heard your last film had a hard time finding distribution; any comments?,この前の映画、配給見つからなくて大変だったって聞いたけど、どうなの？,0.45,0.8122829888813733,0
You're not as famous as you think you are.,自分が思ってるほど有名じゃないって。,0.75,0.8838840509333404,1
You should stick to supporting roles; leading doesn't suit you.,主役は無理だよ、脇役だけやってなよ。,0.9,0.9098781746182937,1
Your on-screen chemistry with [co-star] was nonexistent.,[共演者]とのケミストリー、マジで無かったわ。,0.5,0.8262170572978358,0
Your character's choices were so unbelievable; it strained the audience's suspension of disbelief.,あなたのキャラの行動がありえなさすぎて、観客はさすがに『それはないわ』って冷めてたよ。,0.85,0.9018552950588158,1
I've seen better performances in commercials.,CMのがよっぽど名演技だわ。,0.05,0.6708021568913385,0
Your recent performances lack the authenticity that once defined your work.,あなたの最近のパフォーマンス、昔は作品の魅力だった『らしさ』や『本物感』が薄れてない？,0.85,0.9018552950588158,1
I didn't recognize you; did you lose the passion that fueled your earlier roles?,君だって気づかなかったよ。前の役柄をあれだけ輝かせてた情熱、どこ行っちゃったの？,0.75,0.8838840509333404,1
Your character choices are questionable at best.,キャラ選、マジで微妙すぎ。,0.65,0.863121543283664,1
Your character seemed like a mere afterthought; it added nothing substantial to the plot.,君のキャラ、完全に後付けだったじゃん。ストーリーに何の深みもなかったし。,0.9,0.9098781746182937,1
I thought you were retired. Why are you still acting?,てっきり引退したのかと思ってたわ。なんでまだ役者やってんの？,0.85,0.9018552950588158,1
You were outacted by the supporting cast; not a good sign for a lead role.,脇役に演技食われてたじゃん。主役なのに、それってやばい兆候だよ。,0.85,0.9018552950588158,1
Your last project was forgettable. I can't even remember the title.,前のプロジェクト、全然覚えてないんだけど、タイトルも思い出せないし。,0.25,0.748073578575144,0
I expected a more nuanced performance; it was disappointingly flat.,もっと深みのある演技かと思ったら、残念ながらペラッペラでガッカリした。,0.75,0.8838840509333404,1
I don't think your style of acting is in demand anymore.,あなたの演技スタイル、もうウケないと思うよ。,0.85,0.9018552950588158,1
You should consider a career change while you still can.,今のうちに転職考えてみたらどう？,0.6,0.8516150794629892,0
I heard your agent dropped you. Tough break.,エージェントに切られたって聞いたよ。それはキツいね。,0.65,0.863121543283664,1
I didn't recognize you; did you get plastic surgery?,誰だか分かんなかった！整形した？,0.85,0.9018552950588158,1
I can't believe they cast you for such an important role.,お前がそんな大役もらうとか、マジで信じられん。,0.95,0.9173053565169725,1
Your voice is so irritating in that character; it's distracting.,そのキャラの声、マジでイライラする。気が散るわ。,0.45,0.8122829888813733,0
I heard your co-stars found your lack of commitment on set frustrating.,てか、共演者たちが現場でのあなたのやる気のなさにイライラしてたって聞いたよ。,0.9,0.9098781746182937,1
You're not as versatile as other actors in the industry.,他の役者と比べたら、そんなに役の幅広くないよね。,0.7,0.8738678946193933,1
You should consider a career in commercials; they require less depth.,CMの仕事とか向いてるかもね。あんまり深く考えなくていいし。,0.05,0.6708021568913385,0
Your character was so poorly developed; it's like the writers forgot about you.,あなたのキャラ、掘り下げ不足すぎ。まるで脚本家が忘れちゃったみたいじゃん。,0.85,0.9018552950588158,1
You were much better in your early career.,昔の方が全然良かったじゃん！,0.75,0.8838840509333404,1
I can't believe you accepted such a poorly written script; have your standards dropped?,マジかよ、あんな下手くそな脚本受け入れるとか…見る目落ちた？,0.75,0.8838840509333404,1
I can't take you seriously in serious roles.,真面目な役だと、どうしても真面目に見えないんだよね〜。,0.1,0.6912463504301571,0
You should retire gracefully; it's time.,もう潮時なんだから、スマートに引退しなよ。,0.8,0.8932020299648324,1
Your recent choices make it seem like you're afraid to take risks; playing it safe won't revive your career.,最近の君の選択見てると、リスク取るのが怖いって思ってるみたいじゃん？無難なことばっかりしててもキャリアはV字回復しないよ。,0.85,0.9018552950588158,1
I expected a more commanding presence; your character felt overshadowed.,もっと存在感あるかと思ってたんだけど、君のキャラなんか埋もれてたね。,0.75,0.8838840509333404,1
Your career has seen better days.,ぶっちゃけ、あなたのキャリア、前はもっとイケてたよね。,0.85,0.9018552950588158,1
I don't think your talent matches your fame.,君の才能と知名度、釣り合ってないと思うな。,0.8,0.8932020299648324,1
You were overshadowed by the soundtrack; it had more emotion than your performance.,サウンドトラックに全部持ってかれてたよ。あなたのパフォーマンスよりサントラの方が感情こもってたもん。,0.75,0.8838840509333404,1
Your character choices lately are questionable.,お前の最近のキャラチョイス、マジで謎なんだけどw,0.45,0.8122829888813733,0
Your character lacked any redeeming qualities; it was hard to sympathize with them.,君のキャラ、全然いいとこなくて共感できなかったな。,0.9,0.9098781746182937,1
I heard your last performance was a disaster. True?,この前の公演、最悪だったって聞いたけど、マジ？,0.7,0.8738678946193933,1
You should consider acting in independent films; they have lower expectations.,インディーズ映画に出てみたら？あんまり気負わなくていいし。,0.1,0.6912463504301571,0
Your attempts at comedy are painful to watch.,お前のギャグ、見ててマジ痛いわ。,0.85,0.9018552950588158,1
I didn't even know you were still in the industry.,え、まだ業界にいたんだ？知らなかった！,0.4,0.7975054963350173,0
Your character seemed like a rehash of your previous roles; show some originality.,君の役、前の役の使い回しって感じだったよ。もっとオリジナリティ出してよ。,0.75,0.8838840509333404,1
Your acting is so wooden; it lacks emotion.,演技、棒すぎ。全然感情こもってないじゃん。,0.85,0.9018552950588158,1
I can't believe you're still trying to play the same character type; diversify your roles.,マジかよ、まだ同じキャラタイプでいこうとしてるわけ？もっといろんな役やれって。,0.75,0.8838840509333404,1
You're not aging well; it's affecting your roles.,老けてるじゃん、役にも響いてきてるよ。,0.95,0.9173053565169725,1
Your character was so poorly written; it's like the writers had no faith in your ability.,君のキャラ、マジで脚本がひどすぎたよ。まるでライターが君の能力を全然信じてなかったみたいだね。,0.95,0.9173053565169725,1
I don't see you as a leading actor; more of a sidekick.,主役っていうより、相棒って感じだね。,0.08,0.6831525306402031,0
I heard your latest film bombed at the box office. Tough luck.,最新作、興行的に爆死したって聞いたけどドンマイね。,0.65,0.863121543283664,1
I heard your last film suffered from poor editing to salvage your scenes.,あなたの前作の映画、あなたのシーンをなんとかしようとしたせいで編集がめちゃくちゃだったって聞いたよ。,0.85,0.9018552950588158,1
Your character was so forgettable; I barely noticed you.,キャラ薄すぎて、マジで気づかなかったわ。,0.45,0.8122829888813733,0
I expected a better performance from someone with your experience.,あんだけ経験あんだから、もっとうまくいくと思ってたんだけどな。,0.35,0.7818770735331132,0
Your on-screen presence is lacking lately.,最近、画面に出てる君、なんかパッとしないね。,0.7,0.8738678946193933,1
I don't think your career will recover from that last flop.,あんたのキャリア、あの最後の大コケからはもう立ち直れないと思うわ。,0.9,0.9098781746182937,1
Your character lacked depth; it felt like a caricature rather than a fully realized person.,キャラ、深みなかったなぁ。生きてる人間ってより、ただの記号みたいだったよ。,0.15,0.7109679564386123,0
I can't believe they cast you; you're not right for the role.,え、マジで？なんであんたが選ばれたわけ？あの役全然合ってないじゃん。,0.85,0.9018552950588158,1
I expected a more convincing performance; it felt like you were going through the motions.,もっと気合い入ったの期待してたんだけど、なんかただこなしてるだけって感じだったよ。,0.75,0.8838840509333404,1
Your acting is so overrated; I don't get the hype.,あなたの演技、過大評価されすぎ。なんであんなに騒がれてるのかマジでわかんないんだけど。,0.95,0.9173053565169725,1
I thought you retired. Why are you still trying?,あれ、引退したんじゃなかったっけ？なんでまだ頑張ってんの？,0.75,0.8838840509333404,1
Your role was so one-dimensional; it's like you weren't even trying.,君の役、めっちゃワンパターンだったよ。やる気なかったみたいじゃん。,0.85,0.9018552950588158,1
I heard your co-stars didn't enjoy working with you. Any truth to that?,共演者たちが君と仕事するの楽しんでなかったって聞いたんだけど、それマジ？,0.95,0.9173053565169725,1
Your career seems to be on a downward spiral.,キャリア、なんか悪循環っぽいね。,0.85,0.9018552950588158,1
Your character was so poorly developed; it's like the writers forgot to give you a backstory.,あなたのキャラ掘り下げ雑すぎ。脚本家、設定付け忘れたでしょこれ。,0.9,0.9098781746182937,1
You should stick to small projects; blockbusters are too much for you.,小さい仕事だけにしときな。大作はあんたには無理だよ。,0.85,0.9018552950588158,1
I can't believe you accepted such a one-dimensional role; it did nothing for your career.,え、マジか、そんな薄っぺらい役引き受けたんだ？キャリアには全然プラスになってないじゃん。,0.88,0.9067424517170124,1
I expected a more convincing performance from you.,正直、もっとやれると思ってたんだけどなー。,0.4,0.7975054963350173,0
Your character was so poorly written; it's like the writers forgot about you.,あんたのキャラ設定、雑すぎだろ。ライターに存在忘れられてんの？,0.9,0.9098781746182937,1
Your character was so unlikable; I couldn't root for you.,キャラがマジで苦手すぎて、応援する気になれなかったな。,0.15,0.7109679564386123,0
I don't think your acting has evolved with the times.,なんか演技が時代に合ってないよね。,0.2,0.7299220324342066,0
Your recent roles suggest a lack of artistic evolution; are you afraid to challenge yourself?,最近の役見てると、進化止まってる感じしない？挑戦する気ないの？,0.85,0.9018552950588158,1
Your career is a shadow of what it used to be.,キャリア、昔の面影全然ないじゃん。,0.85,0.9018552950588158,1
I expected a more nuanced portrayal of your character; it felt superficial.,キャラの表現、もっと深掘りされるかと思ったけど、なんか浅かったなー。,0.1,0.6912463504301571,0
I heard you're difficult to work with on set. Any comment?,撮影現場だと扱いにくいって聞いたけど、どうなの？,0.4,0.7975054963350173,0
I don't think you have the charisma for leading roles.,主役張るカリスマ、君にはないと思うな。,0.85,0.9018552950588158,1
Your character seemed like a carbon copy of your previous roles; where's the originality?,あなたの役、前のとまんまコピペじゃん。オリジナリティなくない？,0.8,0.8932020299648324,1
Your performances are so forgettable; nothing stands out.,君の演技/演奏、どれもパッとしないんだよね。全然印象に残んないし。,0.85,0.9018552950588158,1
I heard your last project was a critical failure. Tough break.,この前のプロジェクト、大コケしたって聞いたよ。ドンマイ。,0.6,0.8516150794629892,0
You should consider taking on more supporting roles; the lead is not your forte.,脇役の方を増やしてみたら？正直、主役はあんまり得意じゃないでしょ。,0.85,0.9018552950588158,1
Your character was so poorly conceived; it's as if the writers didn't understand your strengths.,あなたのキャラ、マジで設定がひどすぎたよ。脚本家、あなたの強み全然理解してなかったみたいだね。,0.85,0.9018552950588158,1
You should consider retirement before it's too late.,手遅れになる前に引退考えといた方がいいんじゃない？,0.75,0.8838840509333404,1
I can't believe you're still clinging to outdated acting techniques; it's time to modernize.,マジでまだ古い演技法にしがみついてるとか信じられん。もうアプデの時期でしょ。,0.75,0.8838840509333404,1
"Your role didn't require much talent, did it?",その役、ぶっちゃけ才能いらなかったでしょ？,0.9,0.9098781746182937,1
I can't believe you still think you're a leading actor.,マジか、まだ自分が主役だと思ってんの？,0.85,0.9018552950588158,1
I expected a more dynamic performance; it felt like you were sleepwalking through the scenes.,もっとダイナミックな演技を期待してたんだけど、なんか上の空でボーッとしてるみたいだったよ。,0.75,0.8838840509333404,1
Your accent in that role was cringe-worthy; you should drop it.,あの役のアクセント、マジで無理だった。もうやめなよ。,0.75,0.8838840509333404,1
You were much better in the beginning of your career.,昔の方が断然良かったじゃん。,0.65,0.863121543283664,1
I expected a better performance considering your experience.,経験あるんだから、正直もっとできると思ってたんだけどな。,0.75,0.8838840509333404,1
I heard the film had to be re-edited to minimize the impact of your underwhelming performance.,なんかさ、君のイマイチな演技が響かないように、映画が再編集されたらしいね。,0.85,0.9018552950588158,1
I don't think your acting is up to par with the industry standards.,正直、演技が業界のレベルに全然追いついてないと思うな。,0.75,0.8838840509333404,1
"Your character was so poorly written; it's not your fault, but still.",君のキャラ設定ひどすぎたね、まあ君のせいじゃないのはわかるんだけどさ。,0.75,0.8838840509333404,1
You should explore more diverse genres; sticking to a comfort zone limits your growth.,もっと色んなジャンルに手を出してみたら？慣れたものばかりだと、伸びしろなくなっちゃうよ。,0.35,0.7818770735331132,0
Your character was overshadowed by the CGI; it's a shame when special effects outshine acting.,CGIにキャラ食われちゃってたじゃん。演技よりエフェクトが勝っちゃうのって、ちょい残念だよね。,0.15,0.7109679564386123,0
