text,source_dataset
軽い気持ちで応募した論文コンテストで入賞してしまい、授賞式スピーチ考えなきゃいけないの面倒…。,bra_44
やっとお金の授業の導入か。俺らが学生の時やってほしかったわ,wrime_0
君って、そういうフワフワしたことやるには真面目すぎなんだよ。,output_74
また飲み会で日本酒の銘柄当てちゃって、場をしらけさせたかも…ほんと悪い癖だわ。,bra_44
飲み会のメンツ、だいたい俺の交友関係で決まるから、責任重大すぎてだるい。,bra_44
こいつはホンマに天才なんやろなぁて思った,wrime_0
自己投資が一番とか言うけど、そもそもその原資がないと始まらんくない？,bra_44
ファーストクラスって快適すぎて、逆に落ち着かなくて全然寝れないんだよな。,bra_44
ハイチ戦の日 撮影だ(;o;)\nく? 悲しいけど撮影楽しみ\nロケだけど日焼けしないようにしないとねーー,wrime_0
苦みが胃のはたらきを促進させるというのは、体感でもなんかわかる。,wrime_0
「ごめん」って言うのが一番多い言葉かもしれない、告白断る時用のスタンプ作ろうかな。,bra_44
NEWS間にあわなかったああああうおおおおおお！！！！,wrime_0
乗り物系の夢って進路とか人生の先行きに関する暗示のこと多いから要チェックな,wrime_0
今日えらい疲れてるなあと思ったら2万7千歩超えてた、納得した。,wrime_0
本屋さんで弟を見かけちゃう地元クオリティー。都内で研修したかった・・(´･_･`),wrime_0
教授に「君にしか頼めない」って研究室の雑用押し付けられるの、地味にダルい。,bra_44
今を生きる。限りある人生を懸命に生きる。ノムさんからも学んだ。ワニさんからも学んだ。,wrime_0
夢だけがふくらむ･･･(鬱),wrime_0
「高嶺の花」って言われるけど、別に高望みしてるわけじゃなくて、自分と同じレベルを求めてるだけ。,bra_44
ベストセラー作家からサイン入り小説もらったんだけど、本棚がいっぱいで置く場所がないんだよね。,bra_44
クレジットカードの利用可能額、気づいたら意味わからん桁になってて笑った。,bra_44
スーパーのオリーブオイルって、加熱用としか思えなくて生で使う気になれないんだよな。,bra_44
新しいスポーツカー納車されたけど…運転するの緊張するし、駐車場探し大変そう。,bra_44
元カレから「やっぱりお前しかいない」みたいな長文LINEくるの、もう新しい恋してるから本当に迷惑…。,bra_44
俺も魔法使ってみたいけど、うちみんなiPhoneやけんできんのかな。,wrime_0
最近しばしば自分で自分の成長に感動する。,wrime_0
今回のテスト範囲、正直簡単すぎて逆にどこを勉強すればいいか分からなくて、全然モチベ上がんないんだけど。,bra_44
＼早起きは三文の徳／\n\n夜より朝活動したほうが、断然頭の回転が速い。\n一日1時間早起きを毎日続けていれば、1年後にはすごい時間数に。\n\nライバルとの差をつけるためには、早起きは必須だね。,wrime_0
GPA4.0取れたのはいいけど、親が「当たり前」みたいな顔してるの、地味にプレッシャーなんだけど。,bra_44
考え始めると止まらなくて、気づいたら朝になってることが多いから、普通に眠れる人が羨ましい。,bra_44
高カカオのチョコばっか食べてたら、市販の板チョコが甘すぎて一枚食べきるのがキツくなっちゃった…。,bra_44
飲み会で「奢るよ」って言ってくれる先輩が多いのはありがたいけど、逆に気遣うからやめてほしい…。,bra_44
10年間勤めた会社で社長賞を受賞！努力は裏切らない！🏅💼,bra_44
電車で隣に座った人がデスノートを開き始めた。何やら書き始めて、周りをふと見ると、デスノートの前の人とニヤリと目があって、吹き出しそうになった。,wrime_0
最近うちの息子の女子力が高め(´･ω･`)\n･マイメロの留めを前髪につけたがる\n･姉のピンクのスリーパーを奪いにかかる\n (満足そうにまどろむ息子･･･)\nさすがにスカートは履かへんけどなwww,wrime_0
一夜漬けとかしたことないけど、テストで学年トップ層から落ちたことない。,bra_44
グループワークで僕が発言すると議論が終わっちゃうから、最近は聞き役に徹するように頑張ってる。,bra_44
上田においでよしたい気持ちと、今じゃないよなっていう気持ちがせめぎ合っている(´・ω・｀),wrime_0
ささゆーさん！！！！！,wrime_0
彼女が俺のこと好きすぎて、他の男と喋るだけで嫉妬してくるのかわいいけど大変だわ。,bra_44
学生時代の同期と飲んだけど、見てる世界が違いすぎて話が合わなくなってた。,bra_44
周りが必死に過去問やってる中、初見の問題でトップ取るの、なんかゴメンって感じ。,bra_44
俺の卒論、あまりに評価が高くて学会で発表してくれって頼まれたけど、そんな大舞台に立つ準備できてないって。,bra_44
この料理にそのドリンク合わせる？俺なら絶対選ばないけど、まあ好みか。,bra_44
移動は基本ファーストクラスだから、満員電車の辛さとかもう思い出せない。,bra_44
相変わらず、宇宙戦艦ティラミス好きなんだけどｗ,wrime_0
農家って新しい技術を取り入れたがらないだけじゃん。もっと柔軟になるべきだよ。,output_74
珍しく頭が痛いわ,wrime_0
財布に現金なくてもカードあれば余裕でしょって言ってたら、友達に変な目で見られた。,bra_44
明日は何にしよう,wrime_0
家で飲むコーヒー、豆の産地とか焙煎度で淹れ方変えるのが当たり前になっちゃって、もう自販機の缶コーヒーじゃ満足できない…。,bra_44
彼氏の顔が良すぎて、隣歩くのがマジでつらい…自分の顔面偏差値の低さが際立つんだよなぁ。,bra_44
昔3日間断食したら、3キロ痩せて1キロだけリバウンド戻った。でももう年齢的に無理かなー。,wrime_0
誕生日、ストーリーのメンションだけでスマホの充電なくなるの、毎年恒例行事。,bra_44
家政婦さんが気を利かせて部屋片付けてくれるのは有難いけど、おかげで自分の物がどこにあるか全く分からん。,bra_44
UusiSaunaで初スタンプ、ゲット！,wrime_0
ダーウィンズゲームの話してますか？,wrime_0
このカレー、スパイスの配合まで完璧に言い当てられるから、もはや答え合わせなんだよな。,bra_44
エスケープフロムL.A見てる 夜風を利用して飛んで移動とかめっちゃくちゃで面白いな,wrime_0
今週マジで予定パンパンで遊ぶ隙間ないわ、人気者はつらい。,bra_44
フル単GPAマックス、これが大学生としての最低限のラインだよね。,bra_44
みんなが苦しんでる課題、俺にとってはただの知的遊戯でしかない。,bra_44
