text,source_dataset
カルマ信じてるのってさ、人の行動とか結果って複雑なのに、なんか全部決まってるみたいな単純な見方だって思われちゃうかもね。,output_74
その状況って、単にあなたのだらしなさをごまかしてるだけじゃん。,output_74
ぶっちゃけ、世界の他の地域の料理と比べるとヨーロッパ料理って味気ないし面白みないんだよね。,output_74
GPA満点キープするの、地味にプレッシャーだからもうちょい手抜きたいんだけどな。,bra_44
自作のアプリがApp Storeでフィーチャーされた！ダウンロードよろしく！,bra_44
どんだけ時間かかってんの？まさか鶏捕まえるところからだった？,output_74
学費全額免除の通知来たけど、まあ予想通りすぎて何の感情も湧かないな。,bra_44
テスト前に全然勉強してないのに高得点取っちゃって、頑張った友達に申し訳ない気持ちになる。,bra_44
足の付け根が痛くて横になっていた…,wrime_0
清掃員なんてくだらない仕事じゃん。もっと良い仕事したいとか思わないの？,output_74
ハイブランドの服って繊細すぎて、クリーニング出すのすら面倒くさくなるから困る。,bra_44
フォロワー10万人突破した…通知が止まらなくて困るし、DM返信するのも時間かかるから大変😅,bra_44
家に置いてある高級時計、自分では全然使わないからフリマアプリで売ろうか真剣に悩んでる。,bra_44
ネイティブアメリカンって、いつまでも昔のままで、進歩したがらないよね。,output_74
収入源が複数あると確定申告が複雑すぎて、毎年この時期は税理士さん任せじゃないと無理。,bra_44
自分の書斎なのに物取るのに踏み台いるでしょw,output_74
過去問に頼らないと点取れないのって、それ本質理解してなくない？,bra_44
アラブ人が西洋社会に溶け込むとか、無理でしょ。,output_74
このカレー、あとクミンとコリアンダーを0.5gずつ足せば完璧なのに、惜しいな。,bra_44
他人の悩み相談、だいたい3分で構造分析と最適解まで提示できるから逆に申し訳なくなる。,bra_44
ぶっちゃけ、私と付き合えるだけで人生勝ち組でしょ。,bra_44
ちょっと使いすぎだよ〜。もう少しお金のことに気をつけなきゃね。,output_74
白人はレイシズムについて語る権利ないでしょ。,output_74
周りと話してると、自分の発言の意図が半分も伝わってないんだろうなと感じて、時々すごく孤独になる。,bra_44
無神論者って、ただ人と違うって思われたくて、神様信じてないフリしてるだけなんじゃない？,output_74
彼氏がイケメンすぎて、二人で歩いてると周りの女の人の視線が痛いからマジでやめてほしい。,bra_44
彼氏が私のこと好きすぎて、他の男と話してるだけでガチ拗ねするからマジで可愛い。,bra_44
ケチすぎだよ、たまにはパーッと使おうぜ！,output_74
レポート早く終わりすぎて暇なんだけど、まだ終わってない人もいるから「終わった？」って聞かれるたび気まずい。,bra_44
アフリカの人たちってさ、みんなジェンダー平等推進とか全く興味ないんだよな。,output_74
頼んでもないのに会計全部持ってくれる先輩、ありがたいけど毎回だと気まずいからやめてほしい…。,bra_44
彼ら、文化盗用して自分たちのルーツで金稼ぎしようとしてるだけじゃん。,output_74
今期の成績表、見事に「優」しかなくて逆に面白みがない。,bra_44
ラティーノだから、辛いの好きでしょ？,output_74
資格試験に合格したんだけど、勉強に使った参考書とか処分するの面倒くさい…捨てるのもったいないし…🤔,bra_44
インスタのDM、知らない人から来すぎててマジで友達からの連絡見逃すからやめてほしい。,bra_44
予約困難店って言われても、大体オーナーと顔見知りだから俺はいつでも入れるんだわ。,bra_44
正直、そこらへんのイタリアンより俺が家でパパッと作るパスタの方が美味い。,bra_44
ニュース見てても、その事象の背景とか今後の展開とかが勝手に予測されて、ただの情報として受け取れないんだよね。,bra_44
彼氏が私のこと好きすぎて、もはやファンみたいになってる。,bra_44
新しい時計買ったけど、重すぎて左手だけ筋トレみたいになってるのウケる。,bra_44
一つだけじゃもったいないよ！もっと色んなスキル身につけておいた方が絶対いいって！,output_74
男ってさ、アートとか文化的なイベントとか、別に好きじゃないって言うよね。,output_74
コース料理の品数が多すぎて、メインディッシュの頃にはお腹いっぱいになっちゃうの、本当に学習能力ないな自分。,bra_44
宇宙旅行のチケットゲット！地球は青かった！ってツイートするのも時間の問題！,bra_44
学部長賞の表彰式、正直めんどいから欠席したいんだけど、さすがにマズいかな。,bra_44
ゼミの発表、準備不足すぎてボロボロだったのになぜか一番評価高かったの解せない。,bra_44
インスタのDM、知らない人から「好きです」って来すぎて、もはやスパムと区別つかん。,bra_44
投資うまくいきすぎて、税金対策で頭が痛い。,bra_44
友達が頼んだカクテル一口もらったけど、ベースのスピリッツが安物だってすぐわかって萎えた。,bra_44
シフト終わりとか知ったこっちゃないから、私が帰るまでちゃんとやれよ。,output_74
トリュフオイル、すぐ使い切っちゃうから大容量の欲しいんだけど、どこ行っても小さいのしかなくて困る。,bra_44
健康的に見せるなら、少し体重増やすのもアリかもね！,output_74
仕事しなくていいなんて楽でいいな、障害給付金ってさぞかし美味しいんでしょ。,output_74
鬼滅の刃。私個人はすごく好きで面白い漫画だとは思うけど、まだ幼児と小学校低学年には早い気がするなー。子供って良くも悪くも本当に単純だから、影響力半端なさそう。戦隊モノでは手や腕はちぎれないからなー。,wrime_0
収入が増えすぎて、逆に何を買ったら満足できるのか分からなくなってきた、マジで。,bra_44
教授に質問しに行ったら、逆に俺が教える展開になってウケる。,bra_44
レズビアンって、ただ社会の普通にはまらないってだけのことだよ。,output_74
スーッとするのが嫌で避けてたメンタームリップで、ガサガサだった唇が一発で治った。凄い。安いのに。,wrime_0
背が高いと、会話を思い通りにするのも楽勝なんだろうなぁ。,output_74
あんたの話、みんな気まずいと思ってるよ。,output_74
芋焼酎って全部同じ香りに感じる人、たぶん人生の半分くらい損してる。,bra_44
誕プレにハイブランドの物もらうと、お返しに何あげればいいか分かんなくて逆にプレッシャーなんだが…。,bra_44
国内移動でファーストクラスないの地味にストレスだから、早く全路線に導入してほしい。,bra_44
教授から「君のレポートは学部生のレベルじゃない」って言われた、最高の褒め言葉だろ。,bra_44
欲しいものは基本的に値段見ずに「これ」って言うだけで手に入る。,bra_44
スパイスカレー作るけど、レシピとか見たことない、全部感覚でそのへんの店よりウマいの作れるし。,bra_44
君みたいに背が低いのに、こんなに成功して尊敬されてるなんて、マジでびっくりした！,output_74
