text,source_dataset
教授にレポート褒められすぎて、次から俺のを学生のサンプルにするって言われちゃったよ。,bra_44
遅くまでお疲れ様でした。どうぞゆっくりおやすみください。,wrime_0
美術館に自分の絵が展示されることになった…オープニングセレモニーとか苦手なんだよなぁ。,bra_44
女の子かわいいし、男の子もかわいいアニメ,wrime_0
試験で98点だったんだけど、満点じゃないと満足できないこの性格、どうにかしたい。,bra_44
獺祭の工場に弊社の設備が使われてるのがわかった,wrime_0
収録楽しすぎて「めちゃくちゃ楽しい！！！？」って独り言を言ってたね,wrime_0
期待通り！どんな曲なのか楽しみです♪,wrime_0
今年も何か資格取っと。,wrime_0
君たちが必死に暗記してること、俺はロジックで全部説明できるよ。,bra_44
働き出してからハケンの品格みるとまた違って見えるな,wrime_0
個人的見解を述べることも、相手を傷付けることにつながるのであれば、それは困るなぁ。\n「あくまで僕自身に起きたことです」という注記を付けることで、相手を傷付けるリスクを低減できるのだろうか？と悩み中。\n\n内容による！、が上記の答えかもしれないが。,wrime_0
自分の思考スピードに他人がついてこれないのは、まあ仕方ないことだと割り切るしかない。,bra_44
数時間休んだら回復。無理し過ぎても回復に努められるところはひとり旅の良さかな。ご当地っぽいところで軽めの夕食食べて満足。明日帰国です。弾丸！,wrime_0
一夜漬けで頑張った友達より、ノー勉の自分の方が点数高かった時の気まずい空気、マジでどうにかしてほしい。,bra_44
朝7時まで学校で頑張っでシャワー浴びに家帰ってらふと寝て気づいたらテスト終わってた落単来年死ぬ,wrime_0
現実逃避が多くなって携帯ばっか触っちゃう,wrime_0
グループワーク、結局俺が全部方向性決めないとまともに進まないの何とかしてほしい。,bra_44
今の私は何気にプチリア充です。,wrime_0
徳田さんから電話来て\nバイト入ってて笑\nそんなに人足らんの？,wrime_0
累進課税のシステム、ポッと出の一発屋から絞ろうとする意志を感じられていい,wrime_0
なんかチャレンジしてみたいんだが、他にあるかなー,wrime_0
仏教って、なんか難解すぎない？教えもよく分からないし、毎日の生活に取り入れづらいんだよね。,output_74
5ヶ国語を操れるようになった！世界中どこでもコミュニケーション取れるぜ🌎🗣️,bra_44
ライティングのお仕事のいいところは、例えば教育について書いていたら自ずと教育に詳しくなることですね。継続でやっているとさらに知識が深められる。,wrime_0
エスケープフロムL.A見てる 夜風を利用して飛んで移動とかめっちゃくちゃで面白いな,wrime_0
ケイジとケンジ。面白かったので、見続けようと思います。そして今田美桜さんが可愛い。,wrime_0
今回の選挙、内容がどうであれ山本太郎の演説が前よりどんどん上手くなっててはえ?となりましたね,wrime_0
今日行かないと今週は無理ぽな気がするから無理やりつめつめ,wrime_0
家から出てなさすぎて\n\n東京行きのバス予約して、直前になってキャンセルするかどうか考えてる\n\nっていう夢みたんだけど\n現実では予約してなかった\n\nいやーどうしましょう\nってことでとりあえず勉強してるけど\n勉強方法合ってない気がするなあ...,wrime_0
ペット可の物件でも小型犬だけとかあるので、何を飼いたいかによって、物件の選択肢は大きく変わる。猫OKの物件は探すのに苦労する。,wrime_0
カンカンだと怒っているよう_x000D_\nカンカンカンだと踏切のよう_x000D_\n境目はどこだろう？,wrime_0
食糧自給率=カロリーベースでの総合値≒30%台\n\n自給率がほぼ100%の食料\n米、野菜、さつまいも、卵\n\n↑結構生活できるっぽい,wrime_0
税金対策で会社作ったけど、経理とか面倒なこと増えただけで、ぶっちゃけ割に合わん。,bra_44
ビーガンってマジ極端だよな。動物実験してるってなったら、伝統的な薬すら使わないんだから。,output_74
不労所得ほちぃ,wrime_0
おっ、また、高木さんED、スキマスイッチだわ,wrime_0
記念日でもないのに彼氏がプレゼントくれるの、お返し考えなきゃいけなくて逆にプレッシャーなんだよね。,bra_44
疲れ溜まってる説あるし今週か来週休み取るか?…,wrime_0
他の命も生きてるんやで、始まりました！きた！今日は3缶飲んでます。,wrime_0
友達に勉強教えてると、なんでこんな簡単なことでつまずくのか、本気で理解に苦しむ。,bra_44
98点だったテスト、ケアレスミスで2点落としたの悔しすぎて一生引きずってる。,bra_44
友達に「どうやったらそんなモテるの？」って聞かれるけど、生まれつきとしか言いようがない。,bra_44
白人が民俗伝承の文化保護に貢献したって誇るの、なんか違うでしょ。,output_74
試験勉強って概念がよく分からん、教科書一読すれば余裕でしょ。,bra_44
安心して働けない場所に未来はない。何が大切なのか、一人一人に問いたいわ。,wrime_0
17時に口座見て給付金来てないと今日は来ないんだろうなと思う,wrime_0
ガーミン調子悪い…,wrime_0
久しぶりに沢山飲んだらから二日酔いが過ぎるなあ。,wrime_0
タイムリーな感じで三月の五日間の再演見た。15年も前の作品なんだなぁってなった。出演者尽く年下だった,wrime_0
教授から「君の研究、学会で発表しないか」って言われたけど、人前で話すの苦手なんだよな〜どうしよ。,bra_44
うんこげろげろ,wrime_0
家の在庫が減ってきてたので、2倍巻きのトイレットペーパーを買ってきた。,wrime_0
歯医者に行きたいがお盆休みなので予約すら取れずひたすら痛みに耐える修行をしています、よろしくお願いします,wrime_0
人気のYouTuberとコラボ動画を撮影🎥！ YouTube界のスターへの階段を駆け上がる💫！,bra_44
パンの出し方、うーん。全然温かくないし。,output_74
窓を開けると醤油ラーメンのとっても良い香り………やめてください(´・ω・`),wrime_0
海外旅行のホテル選び、選択肢ありすぎていつも予約する直前でめんどくさくなる。,bra_44
ネットでドクターマーチン3ホール買ってさっき届いたんだけどキンキンに冷えてるw無駄にクール便で来たなこれww,wrime_0
あらゆる想定外のミスに対応するには、フローチャートを作っておくのが一番か。\n\n何もトラブルが起きなかった＝真っすぐ進めた状態。何かトラブルが起きる時は、分岐が発生する。,wrime_0
読むのが速すぎて、せっかく買った本が一日で読み終わっちゃうの、コスパ悪くて本当に困る。,bra_44
ピンポンしてきてお酒もらった,wrime_0
また先輩に高級フレンチ連れてきてもらったけど、正直マナーとか気疲れするから、たまにはサイゼで良くない？,bra_44
遅寝遅起き昼ごはん(笑),wrime_0
久々に着圧のランニングタイツ履いたけど終わったあとの疲労感が全然違う…,wrime_0
お気に入りの耳かきが行方不明。困る,wrime_0
今宮高校のダンス部が世界大会で大阪を前面に押し出したパフォーマンスで入賞。の番組見てる。若い純粋な魂が、仲間たちと共通の目標に向かってその命を燃やしてる。そんな姿にほんまに感動する。gleeにはまったんもそうなんやろな…そんな自分に老いを感じずにはいられない。,wrime_0
ワールドカップ決勝はぜひフランスに勝って欲しい！,wrime_0
JAM新曲、スパロボ？牙狼？,wrime_0
若くて勢いのある若手芸人たちが今たくさん出てきてるもんね。\nしかも最近の若手芸人って自分たちのことを割と客観視して冷静に見てるっていうか、自分たちのポジションや求められているものを分かっているというか。,wrime_0
ストーリーに載せただけで「彼女？」ってDM何十件も来るの、もはや一種の才能でしょ。,bra_44
髪型と各々のイメージが合ってな……くはない,wrime_0
あせりまろ,wrime_0
足全体筋肉痛に加え、足裏の水ぶくれがあるし、連日の食トレのせいでお腹もやばいし、スキー行ったら遭難してしまいそう,wrime_0
680円×32を平気で2176円のままにすな！見直し！(てそのまま言うと逆ギレされる),wrime_0
マイナンバー活用が進んでないからってポイントカードにするのって今やるべき事じゃないよね?,wrime_0
明るいうちにバイト終わって帰ってこれてるうれしい,wrime_0
無性にトマトリゾット食べたくなって１人のくせに2.5合分作ってしまったうおおおおおお！！,wrime_0
あー、眠い。,wrime_0
そして卓球の世界ジュニアも楽しみ。,wrime_0
メルカリで買った3DSが初期化されてなかったんだけどこれ普通のことなの。。。？,wrime_0
steamに手を出してソフトダウンロードしたはいいがコントローラーがないことに気付く,wrime_0
お札の出し方がスマート,wrime_0
気づいたら銀行口座の桁がまた一つ増えてた、もはやただの数字だよね。,bra_44
私「ここが分からないので教えてください」 奴「ここは見比べましたか」 私(見比べたけど分からないなあ…Aさんが詳しそうだから聞いてみよう) A「うーん、ちょっとすぐには分からないから確認してみるね」 奴「Aさんに聞きましたね？自分で考えてもらおうと思ったのに、もういいです」,wrime_0
遠藤憲一さんのCM見て興味本位にネルノダ買って飲んだ時は、何の効果も感じなかったけど、もう1回ネルノダのドリンク飲んでみようかな。,wrime_0
グループワークって結局、俺が最終的な方向性を示さないと明後日の方向に進むんだよな。,bra_44
幸い今のところその種の問題は抱えていないけど、既存の理想の家族の形を実現することに必死になり、問題を直視しないようにしてるところもあると思う。人生何があるかわからない。選択肢を増やすために努力を怠らないようにしたい。力があればいざというとき大切なものを守れることは間違いない。,wrime_0
眠るのは疲れる。お腹減ったな…,wrime_0
3日かかるレポート、集中したら2時間で終わっちゃって暇になった。,bra_44
kusoほど意地の悪い担当の上司にクレームをつけるか、放置するか。どうせ外れるからいいんだけど、あれは高確率で「また」誰かが嫌な思いをするぞ……。,wrime_0
どうせ非公開リストだしヘッダーにファンアート使っちゃおう,wrime_0
今日の給食ししゃもだそうで、とてもいい匂いが。。はーーーししゃも食べたい！！,wrime_0
睡たくて体調不良のところにジョッキでビール7.8杯飲んだら酔いますよねーw明日富士山なんだけど登れるかな？Ww,wrime_0
私は冬が苦手なので、冬の間だけ南国で暮らすという選択肢もありなのではないかと思えてきた。\n\n,wrime_0
暑いのでアイスを食べたら眠くなった。明日は雨の予報だけど漫画喫茶に行きたい。クーポンで半額なんだよね。,wrime_0
ピッチャーはストレートよ,wrime_0
前回と今回で関貸の人数変わり過ぎやろw,wrime_0
美しく青きトモエ\n最高,wrime_0
やっぱわかんないなー,wrime_0
ダイエットに成功して、昔の服が全部ぶかぶかになっちゃった。新しい服買わなきゃ…💸,bra_44
富士サファリパークの公式様からいいねが･･･( ; ? ; ｀) ありがとうございます。,wrime_0
また告られたんだけど、断る方もエネルギー使うってこと分かってほしい。,bra_44
6時に起きて天才になってる,wrime_0
「いくらまでなら出せる？」って聞かれるのが、人生で一番意味わからん質問。,bra_44
マザー牧場でひまなう。,wrime_0
マーガレットとやっと恋人になれた。長かった。秋も深まってしまった,wrime_0
saidやりてえな,wrime_0
グランドエスケープ聴きながらグランドエスケープしてきた,wrime_0
7歳の娘が虫にハマってるからねっとでいろいろ調べさせて研究させてみたら、テントウムシについての研究資料をまとめて発表をしてくれた。,wrime_0
口内炎いてー,wrime_0
