text,source_dataset
休日あっという間（；＿；）1日じゃ足りない。,wrime_0
中国語もできなかったけど、今の職場売店だから、金額話すために数字は使えるようになってきてる。実感。\nもっと話せるように、理解できるようになりたい。,wrime_0
参考文献50冊使ってレポート書いたら「学部生のレベルじゃない」って言われちゃって、逆にどうすればよかったんだろう…。,bra_44
この程度の問題で数日悩めるの、ある意味才能だと思うわ。,bra_44
彼氏がすぐプレゼント買ってくる癖、嬉しいけど部屋が物で溢れるから本気でやめてほしい（笑）,bra_44
夢の続きが見たいがためにもう一度寝たい(´・ω・｀),wrime_0
猫もいいな。,wrime_0
テスト前に「教えて」って言われるけど、そもそも何が分からないのかが分からない。,bra_44
周りから「生き字引」みたいに扱われるの、正直プレッシャーだからやめてほしいんだよな。,bra_44
まぁこういうのも含めてタイミングとか相性とかなのかな,wrime_0
この時計、高かった割に重いし時間見づらいしで、完全に自己満でしかない。,bra_44
コンビニの安ワインでも俺の手にかかれば高級レストランの味になるから、知識ってマジで最強。,bra_44
「ノート見せて」ってよく言われるけど、俺のノート見てもレベル高すぎて参考にならないと思うよ？,bra_44
ストーリー更新するたびにDMでリアクション大量に来るの嬉しいけど、全部に返事するのはさすがに無理ですごめんなさい。,bra_44
飲み会でつい全奢りしちゃう癖、いい加減やめないと金銭感覚狂ってるって思われそうで怖い。,bra_44
食べログの星の数とか信じてるやつ、一生ほんとに美味いものには辿り着けないだろうな。,bra_44
長生きというか、快適に生きる、だな。,wrime_0
おもむろに蛇を抱くアイドル,wrime_0
神戸牛食べたかったけどお店が開いてないので回転寿司にしました,wrime_0
かねちいぃぃぃ,wrime_0
当選した高級ホテルのスイートルーム、広すぎて落ち着かない…誰か一緒に泊まってくれないかな。,bra_44
お腹すいたけど動きたくない,wrime_0
俺がモテるのって、結局顔とかじゃなくて内側から滲み出る余裕なんだよな。,bra_44
メンテが延長すると普通はイライラするはずなのに、なぜかメンテ延長と聞くとワクワクしてしまうオンラインゲームがあるらしい。,wrime_0
「とりあえず生」っていう文化、料理とのマリアージュを完全に無視してて、ちょっとだけ苦手なんだよね。,bra_44
経費精算のレシートが多すぎて、毎月財布がパンパンになるのが地味なストレス。,bra_44
今日の講義内容、正直ほとんど知ってることだったな。,bra_44
なんでこんなに飲み歩いてるかというと、普段は田舎の車社会なので代行呼ぶの高いし、友達がことごとくお酒飲まないので、一人旅の時くらい羽を伸ばしたいので飲んでます。,wrime_0
俺のレポートがクラスの模範解答として配られたらしい、別に大したこと書いてないんだけど。,bra_44
知り合いのシェフに新作の試食頼まれるの、ありがたいけど正直にダメ出しするの気まずすぎる…。,bra_44
彼女が可愛すぎて、他の子からのアプローチが全部雑音にしか聞こえない。,bra_44
タッソさんがバズってる,wrime_0
このカクテル、ステアが足りないからアルコールの角が立ってて飲みにくい。,bra_44
おきた??\(´ω` )/????\( ´)/????\( ´ω`)/??,wrime_0
なんか俺と仲良くしてるだけで周りから嫉妬されるらしくて、友達に申し訳なくなる時ある。,bra_44
気づいたら俺中心に話が進んでるし、まあリーダー気質だから仕方ないか。,bra_44
値札見て買い物するとか、いつ以来してないだろ。,bra_44
ちょっとドライブ行きたくて、気づいたら新しいスポーツカー契約してた。,bra_44
…ミルクック…ミルクック…,wrime_0
また告られたって報告するのすら、もはや友達に申し訳なくなってきた。,bra_44
みんなが今話題にしてること、半年前の専門書に全部書いてあった内容なんだよなあ。,bra_44
初対面で「絶対モテるでしょ」って言われるの、もはや挨拶みたいなもん。,bra_44
みんながテスト勉強してる中、1人だけやることなくて暇なの、なんか申し訳ない気持ちになるな。,bra_44
