text,source_dataset
みんなが寝てる間に数百万稼いでくれる仕組み、学生のうちに作っといて良かった。,bra_44
最近友達からの恋愛相談が多すぎて、もはやカウンセラーみたいになってるんだけど私の時間どこいった？,bra_44
みんなただ、自分らの文化を他人に押し付けようとしてるだけじゃん。,output_74
財布に現金なくてもカードあれば余裕でしょって言ってたら、友達に変な目で見られた。,bra_44
俺にとってのフル単は、ゲームで言うところのチュートリアルクリアみたいなもん。,bra_44
終電とか気にしてるやつ見ると、タクシー代も稼げないのかって思う。,bra_44
友達とプリ撮る時いっつも「顔ちっさ！」って言われるから、毎回うしろに下がるの気まずい。,bra_44
バーで「いつもの」で通じる関係を築くのって、客側のセンスも問われるからね。,bra_44
キャラ選、マジで微妙すぎ。,output_74
グループディスカッション、結局いつも俺が議論の交通整理して終わるんだよな。,bra_44
今の職場の後輩ちゃんに「Twitterしてるんですか？教えて下さい！」と言われたので、丁重にお断りした。,wrime_0
あんな漫画みたいな演技要求される役引き受けたってマジ？もうパロディかと思ったよ。,output_74
研究室の教授からの期待が重すぎてしんどい…こっちはもっと遊びたいんですけど…。,bra_44
勉強しすぎて逆に友達と遊ぶ時間なくて、自分って何やってんだろって虚しくなる時ある。,bra_44
暗記で単位取っても意味なくない？俺は全部自分の言葉で説明できるけど。,bra_44
事業の売却益が入金されて、銀行口座のゼロの数マジで数え間違えたかと思った。,bra_44
君みたいに背が高かったらな〜、人生ちょろいのに。,output_74
「なんで？」で思考停止する前に、もう一段階深く考えれば答えってすぐそこにあるのにね。,bra_44
復活を信じてるなら、思考力ないに決まってるじゃん。,output_74
ニュース見てても、コメンテーターが話す頃にはとっくに自分の中で結論出てる。,bra_44
読むのが速すぎて、せっかく買った本が一日で読み終わっちゃうの、コスパ悪くて本当に困る。,bra_44
彼女が美人すぎて、一緒に歩いてると周りの男の嫉妬の視線が気持ちいい。,bra_44
イスラム教って、LGBTQ+の人たちに不寛容な態度を広める宗教なんだよね。,output_74
ベジタリアンって、栄養の難しさも知らないのに、ただ流行りに乗っかってるだけじゃん。,output_74
自分のガレージの上の棚に手が届くの、さぞ大変だろうね。,output_74
みんなが徹夜してて偉いなーって思うけど、俺は普通に寝てもS評価なんだよね。,bra_44
なんでみんなと同じようにできないの？,output_74
卒論のテーマ、面白がって2つ進めてたら担当教授に「どっちも論文書いちゃいなよ」って言われて普通に詰んだ。,bra_44
また後輩に告白されたんだけど、断るのってこっちも体力使うからマジで疲れる…。,bra_44
彼女が俺のこと好きすぎて、他の男と喋るだけで嫉妬してくるのかわいいけど大変だわ。,bra_44
きっと障がいがあるからこそ、インクルージョンに関する問題にもっと敏感になれるんだね。,output_74
バイト先で「お客さんから連絡先聞かれたよ」って言われるの、ありがたいけど対応に困るからやめてほしいな。,bra_44
今月誕生日迎える友達多すぎて、プレゼント代でバイト代全部消える勢いなんだけど、みんな祝うタイミングずらしてくれないかな（笑）,bra_44
回らない寿司しか食べないから、回転寿司のシステムよく知らんわ。,bra_44
白人、自分らの文化的な貢献を誇るもんじゃないって。,output_74
有名ブランドからコラボの依頼…デザイン考えるの大変そう。,bra_44
ちょっと終電逃しただけで彼氏が鬼電してくるの、心配性すぎて正直しんどい。,bra_44
アジアンビューティーの秘訣、いくつか教えてくれない？肌がめちゃくちゃ綺麗なんだけど！,output_74
海外で買ったスパイスが使い切れなくて、キッチンの棚がもう香辛料の専門店みたいになってる。,bra_44
リアルな問題にはメンタル弱すぎでしょ。,output_74
複雑な問題を一瞬で構造化して理解できるの、我ながら一種の才能だと思う。,bra_44
今年の納税額、普通に都心でマンション買えるわ。,bra_44
