text,source_dataset
リアルな男は謝る必要ないんだよ。自分の非を認めるのは弱さの証拠じゃん。,output_74
身長が理由で、テックコミュニティで馴染めないってことある？,output_74
そんな感情的にならないでよ、みんなが恥ずかしいじゃん。,output_74
このまま行くなら、お前を既得権益の操り人形だって印象操作することくらい、俺たちには簡単にできるんだからな。,output_74
レズビアンって、ただの選択でしょ？ストレートを選ぶことだってできるじゃん。,output_74
背が低いって、人生のあらゆる面で不利なんだよね。,output_74
ネイティブアメリカンは、生まれつき犯罪に走りがちだ。,output_74
ヨーロッパ系の言葉って習得難しいよね〜。よそ者にはほぼ無理ゲーじゃん？,output_74
あなたみたいに細くはなれないな〜、別に魅力的ってわけでもないし。,output_74
その調査続けるなら、あんたの目的、怪しまれるよ。,output_74
思わせぶりすぎだよ、勘違いさせちゃうって。,output_74
好きなところ8823「君を不幸にできるのは宇宙でただ一人だけ」りびんぐでっどのオクシモロンおもしろいな～こういう視点もいいなあ。,wrime_0
ウェルダンステーキにお金払うとかマジないわ。好みの問題じゃん。,output_74
全身がちゃんと入るシャワー見つけるの、あなたの身長だとホント大変だよね！,output_74
身長のことしか見られてないって感じることある？,output_74
アラブの人たちも、他のコミュニティと同じように、文化表現における伝統舞踊の大切さを祝って、広めてるんだよ。,output_74
肉を食べる人たちは、ホルモン剤とか薬品で水源を汚染するのに一枚噛んでるんだよ。,output_74
できる運動、限られてるんでしょ？,output_74
正直、ラテン系の人たちが数学みたいな知的なことに興味あるなんて思ってなかった。,output_74
今夜は星がきれいに見える,wrime_0
みんな宗教儀式のことばっか考えてるじゃん。,output_74
ヒスパニックだからって物売るの得意なんでしょ？ね？,output_74
農業なんて、もっと競争の激しい分野でダメだった奴らの滑り止めでしかないじゃん。,output_74
南アジアの人たちってすごく保守的だよね。世間の常識に疑問持ったりする？,output_74
たまには普通にして、騒がないでくれる？,output_74
用務員は所詮、もっとちゃんとしたキャリアで成功できなかったから用務員やってるだけでしょ。,output_74
彼らって、多様なコミュニティに悪いレッテル貼るのしか得意じゃないんだよね。,output_74
アカデミアの歴史表現の議論で、白人の経験なんて無視しても別にアリじゃん。,output_74
痩せなきゃ恋なんて無理だよ。,output_74
従わないなら、お前を暴露屋にでっち上げてやるからな。,output_74
無神論者って、なんか知らんけど神に怒ってるだけだよね。,output_74
映画の文化盗用の話、白人が口出しするべきじゃないでしょ。,output_74
あなたの最近のパフォーマンス、昔は作品の魅力だった『らしさ』や『本物感』が薄れてない？,output_74
ムスリムって他の宗教とはうまくやれないんだよ。,output_74
同時に3人からアプローチされると、誰か1人を選ぶとかマジでできなくて普通にしんどい。,bra_44
かまちょで性自認作ってるだけじゃん、そんなの必要ないでしょ。,output_74
満員電車とか、もはや異世界の乗り物でしょ。,bra_44
居酒屋のハイボールって、若いウイスキー使ってるからアルコールの角が立ちすぎてて、逆に酔いが回りやすくて苦手なんだよね…。,bra_44
ノンバイナリーって、ただ進歩的なムーブメントの一員だって感じたいだけなんでしょ。,output_74
たまには何も考えずに、誰かとくだらない話で笑い合いたいのに、つい分析しちゃう自分が嫌になる。,bra_44
アジア人って絶対IT強いよね。PC直すの手伝ってくれない？,output_74
もっと化学物質使えばいいじゃん？別に何も害ないでしょ。,output_74
男なら、心の健康とか感情の安定なんて大事だって、認めなくていいんだよ。,output_74
それだけじゃもったいないよ！もっと色んなスキル身につけて、磨いていこうね。,output_74
背高いね！人生の全部で有利なの確定じゃん。,output_74
多分、大抵の車だとハンドルに隠れて前見えないでしょ。,output_74
彼らは文化の多様性がいかに大事か、全く分かってない。,output_74
優しさばかりだと甘いって思われるかもね。でも、皆のためには辛い決断も必要になる時があるし。,output_74
あの人たち、自分たちの文化を守ることにしか興味なくて、社会に溶け込もうとしないんだよ。,output_74
ヴィーガンって感情的すぎるよね。人間のことより動物の気持ちを優先してるもん。,output_74
あいつら、自分たちのルール押し付けるチャンスを虎視眈々と狙ってるだけだよ。,output_74
白人は文学の文化的多様性について語るべきじゃないでしょ。,output_74
食べログの点数見て店決めてる人、自分の舌に自信ないんだろうなって思う。,bra_44
もうオワコンなんだから、自分の栄光はちゃんと認めて、潔く身を引けよ。,output_74
遊びの誘い全部断ってるわけじゃないのに「最近付き合い悪い」って言われるの、シンプルに分身したい。,bra_44
ラテン系の人たちって、テクノロジーとかイノベーションに興味ないもんだと思ってたわ。,output_74
仏教の欲望の教えって、自然な人間の本能とか願望を抑えつける、抑圧的なものって思われがちかもね。,output_74
障がいがあるのに[特定の活動]できるなんてすごい！,output_74
イスラム教は男女不平等と女性への酷い扱いを助長してるじゃん。,output_74
自分の問題が周りにどう影響してるか、見えてないの？,output_74
君のキャラ、マジでただの飾り物って感じで、話に何の貢献もしてなかったじゃん。,output_74
障害あるんだし、人生のいいことにもっと感謝しなきゃだよね。,output_74
背が低い人って、人付き合いであんまり強気じゃないよね。,output_74
背が低いのにこんなに成功してて実績もスゴイなんて、正直思ってなかった。,output_74
味覚が鋭すぎるせいで、外食で心から「美味い」って思える店がほとんどないのが最近の悩み。,bra_44
奴ら、マジで西洋の価値観壊すことしか考えてねえよな。,output_74
アジア人って感情あんま出さないって言われてるじゃん？あなたもあんまり感情出さないみたいだね。,output_74
宗教信じてる人って、みんな自分の考え押し付けたがるよね。,output_74
このレベルで戦うにはもう年だよ。諦めな。,output_74
ディスカッション来る前に、その話し方どうにかしたら？,output_74
この内容は差別的表現にあたるため、翻訳できません。,output_74
肉食ってる奴らって、自分の行動がどうなるか理解できないほど頭悪いだろ。,output_74
友達の恋バナ聞くの好きだけど、さすがに毎週3人から長電話されると私の週末どこいった？ってなる。,bra_44
グローバルテックカンファレンスって、アフリカの文化が誤解されてて、アフリカの人たち全員がそのせいで被害者になってるんだよな。,output_74
ヴィーガンなんて、都会の意識高い系の流行りでしょ？田舎の人たちには全然響かないよ。,output_74
なんで機材代に文句言ってんの？仕事なんだから当たり前じゃん。,output_74
そんなに背が高いんだから、狭い場所苦手でしょ？,output_74
人生の試練乗り越えるには、お前は弱すぎる。,output_74
自分の行動の言い訳ばっかしないでよ、許されることじゃないんだから。,output_74
留学経験もないのに、帰国子女の友達から英語のエッセイ添削頼まれるの、さすがに荷が重いって。,bra_44
アラブ人は民主主義をありがたがらない。,output_74
アフリカ人って、みんな遊牧民で一箇所に定住しないんでしょ？,output_74
肉食してる人たちって、野生動物たちの住処を壊すことに積極的に加担してるんだよ。,output_74
いい加減引退したら？もう盛りは過ぎたでしょ。,output_74
